Reference,Value,Footprint,MPN,Fournisseur,Quantité,Description
U1,OSD32MP15x,BGA-361 11.6x11.6mm,OSD32MP1516-RED,Octavo Systems / Mouser,1,SiP STM32MP157 + STPMIC1 + LPDDR3 512MB
U2,MTFC4GACAJCN,BGA-153 7x11.5mm,MTFC4GACAJCN-4M,Micron / DigiKey,1,eMMC 4GB HS200 3.3V/1.8V
U3,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6Y,STMicro / Mouser,1,ESD protection USB-A side
U4,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6Y,STMicro / Mouser,1,ESD protection USB-C side
J1,USB-A Male,USB_A_Molex_67643_Horizontal,0678404001,Molex / Mouser,1,Connecteur USB-A male (côté PC)
J2,USB-C Male,USB_C_GCT_USB4135,USB4135-GF-A,GCT / DigiKey,1,Connecteur USB-C male (côté Coral TPU)
Y1,32.768kHz,Crystal_SMD_3215-2Pin,NX3215SA-32.768K-EXS00A-CS05480,NDK / DigiKey,1,Cristal RTC 32.768kHz
J3,UART4_DEBUG,PinHeader_1x04_P2.54mm,61300411121,Würth / DigiKey,1,Header UART4 debug 4 broches
C1,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage VDD_CORE
C2,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage VDD_3V3
C3,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage USB OTG
C4,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage USB HOST
C5,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage SDMMC1
C6,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage SDMMC1
C7,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage général
C8,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage général
C9,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage UART
C10,100nF 10V,C_0402_1005Metric,GRM155R71A104KA01D,Murata / DigiKey,1,Découplage RTC
C11,10uF 10V,C_0603_1608Metric,GRM188R61A106KE69D,Murata / DigiKey,1,Bulk VIN
C12,10uF 10V,C_0603_1608Metric,GRM188R61A106KE69D,Murata / DigiKey,1,Bulk VDD_3V3
C13,10uF 10V,C_0603_1608Metric,GRM188R61A106KE69D,Murata / DigiKey,1,Bulk eMMC VCC
C14,10uF 10V,C_0603_1608Metric,GRM188R61A106KE69D,Murata / DigiKey,1,Bulk VBUS
R1,5.1k 1% 0402,R_0402_1005Metric,RC0402FR-075K1L,Yageo / DigiKey,1,CC1 pull-down UFP sink
R2,5.1k 1% 0402,R_0402_1005Metric,RC0402FR-075K1L,Yageo / DigiKey,1,CC2 pull-down UFP sink
